year,category,type,Cars and Station-wagons number,C,west,national,east,central,south,north
2021,Cars and Station-wagons,Off peak cars,11033,11033,10.529411764705882,16.41456582633053,11.473389355742297,14.509803921568627,11.761904761904763,14.095238095238095
2022,Cars and Station-wagons,Private cars,532348,532348,9.513736263736265,16.22252747252747,12.719780219780219,13.673076923076923,7.873626373626373,13.576923076923077
2022,Cars and Station-wagons,Company cars,35109,35109,9.513736263736265,16.22252747252747,12.719780219780219,13.673076923076923,7.873626373626373,13.576923076923077
2022,Cars and Station-wagons,Tuition cars,781,781,9.513736263736265,16.22252747252747,12.719780219780219,13.673076923076923,7.873626373626373,13.576923076923077
2022,Cars and Station-wagons,Private Hire (Self-Drive) cars,26155,26155,9.513736263736265,16.22252747252747,12.719780219780219,13.673076923076923,7.873626373626373,13.576923076923077
2022,Cars and Station-wagons,Private Hire (Chauffeur) cars,46477,46477,9.513736263736265,16.22252747252747,12.719780219780219,13.673076923076923,7.873626373626373,13.576923076923077
2022,Cars and Station-wagons,Off peak cars,9797,9797,9.513736263736265,16.22252747252747,12.719780219780219,13.673076923076923,7.873626373626373,13.576923076923077
2023,Cars and Station-wagons,Private cars,524613,524613,8.48853228034682,16.71578947368421,10.83852489132948,14.308508268786127,9.025250953757224,14.981203800578035
2023,Cars and Station-wagons,Company cars,35429,35429,8.48853228034682,16.71578947368421,10.83852489132948,14.308508268786127,9.025250953757224,14.981203800578035
2023,Cars and Station-wagons,Tuition cars,770,770,8.48853228034682,16.71578947368421,10.83852489132948,14.308508268786127,9.025250953757224,14.981203800578035
2023,Cars and Station-wagons,Private Hire (Self-Drive) cars,28306,28306,8.48853228034682,16.71578947368421,10.83852489132948,14.308508268786127,9.025250953757224,14.981203800578035
2023,Cars and Station-wagons,Private Hire (Chauffeur) cars,53448,53448,8.48853228034682,16.71578947368421,10.83852489132948,14.308508268786127,9.025250953757224,14.981203800578035
2023,Cars and Station-wagons,Off peak cars,8736,8736,8.48853228034682,16.71578947368421,10.83852489132948,14.308508268786127,9.025250953757224,14.981203800578035
